"id","sequence_id","name","email","website_link","business_hours","state","timezone","sales_summary","status","current_step","last_step_sent_at","next_send_at","sent_at","replied_at","thread_id","error_log","bounce_type","created_at","updated_at","link","client_id","reply_count"
"00744c09-1f1b-4d33-b9f7-45dfed570e48","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Sweet Tree Farms","sweettreefarms@outlook.com",,"Daily 8am–10pm","Oregon","America/Los_Angeles","Sweet Tree Farms is a locally owned dispensary in Eugene, offering a curated selection of high-quality cannabis products, including bud, concentrates, and edibles sourced from local organic growers. The dispensary emphasizes a comfortable shopping experience and caters to both recreational and medical users, with a special discount for veterans. Established in 2015, it has built a loyal customer base by focusing on quality and community.","in_sequence","2","""2025-11-27T14:00:18.787Z""",,,,"19ac077cf0e9cdac",,,"""2025-11-25T23:48:23.934Z""","""2025-11-27T14:00:18.806Z""","https://www.leafly.ca/dispensary-info/sweet-tree-farms",,"0"
"00eb0ee2-f938-409e-8ca7-b6dcf9f00409","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Kushella Dispensary","kushellaincpalmsprings@gmail.com",,"Mon–Fri 7am–8pm, Sat–Sun 8am–8pm","California","America/Los_Angeles","Kushella Dispensary in Coachella Valley focuses on providing high-quality marijuana products and a curated selection of top-rated strains. The staff is described as caring and knowledgeable, emphasizing a customer experience that prioritizes education and engagement with cannabis culture.","in_sequence","2","""2025-11-27T14:17:18.976Z""",,,,"19ac08cd358219d3",,,"""2025-11-25T23:48:23.934Z""","""2025-11-27T14:17:18.995Z""","https://www.leafly.com/dispensary-info/kushella-dispensary",,"0"
"00f28022-c4f5-4acd-85d0-0b61b46863be","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Walla Walla Weedery","wallawallaweedery@gmail.com",,"Mon–Thu 8am–10pm, Sun 8am–10pm, Fri–Sat 8am–11pm","Washington","America/Los_Angeles","Walla Walla Weedery is a cannabis dispensary located in Walla Walla, WA, that emphasizes quality and customer experience. The store prides itself on curating a diverse selection of cannabis products while fostering a welcoming atmosphere for all customers, including a notable discount for veterans. The business operates on a cash-only basis, with an ATM available on-site.","in_sequence","2","""2025-12-02T14:13:34.533Z""",,,,"19ac0a49db9d3bf3",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:13:34.563Z""","https://www.leafly.com/dispensary-info/walla-walla-weedery",,"0"
"020a9ed8-7ad9-46e2-97a2-666d551621d4","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","PurLife - Farmington","farmington@purlifenm.com",,"Daily 8am–10pm","New Mexico","America/Denver","PurLife - Farmington emphasizes the therapeutic benefits of medical marijuana, showcasing a commitment to quality and innovation in cannabis production. Their knowledgeable staff provides personalized recommendations, and the dispensary positions itself as a community-focused advocate for health and wellness, aligning with values of sustainability and authenticity.","in_sequence","2","""2025-12-02T14:13:52.070Z""",,,,"19ac0b80d61d88d1",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:13:52.101Z""","https://www.leafly.com/dispensary-info/purlife-farmington",,"0"
"02218503-62f0-4f65-882b-fbe391c7dcf0","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Unknown","info@liftcannabis.co",,"",,"America/New_York","","in_sequence","2","""2025-12-02T14:14:06.797Z""",,,,"19ac0ca1d8e0cb90",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:14:06.829Z""","https://www.leafly.com/cannabis-store/lift-cannabis-co",,"0"
"0232c447-f6a4-4b15-b179-090800c14004","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Higher Level of Care - Greenfield","greenfield@hldispensaries.com",,"Daily 8am–10pm","California","America/Los_Angeles","Higher Level of Care - Greenfield is positioned as the first dispensary storefront in Greenfield, emphasizing convenience with its location directly off Hwy 101. The listing highlights various customer discounts, including those for military and first-time visitors, while maintaining a straightforward approach to pricing and transaction policies.","in_sequence","2","""2025-12-02T14:14:23.215Z""",,,,"19ac0e3ce1eef4e5",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:14:23.247Z""","https://www.leafly.com/dispensary-info/higher-level-of-care-greenfield",,"0"
"0239d181-d9e8-4053-95a2-220719dcf322","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","TreeHouse Club","sjb@treehouseclub.buzz",,"Mon–Sat 8am–9pm, Sun 9am–8pm","Washington","America/Los_Angeles","TreeHouse Club is a veteran-owned cannabis dispensary offering a diverse selection of premium cannabis products, including flowers, concentrates, and edibles. The store emphasizes customer experience with features like Loyalty Rewards and daily specials, while also catering to both medical and recreational users.","in_sequence","2","""2025-12-02T14:14:36.676Z""",,,,"19ac0f9c7a00369b",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:14:36.708Z""","https://www.leafly.com/dispensary-info/treehouse-clube639",,"0"
"023c2c2e-2a03-4be3-a8cb-708590213912","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Catalyst - Van Nuys","vannuys@catalystcannabis.co",,"Daily 10am–9:30pm","California","America/Los_Angeles","Catalyst Cannabis Van Nuys positions itself as a community-focused dispensary serving the San Fernando Valley, emphasizing a customer-first approach. The listing highlights a curated selection of top cannabis brands and a commitment to supporting local businesses, while also providing convenient access and amenities for customers.","in_sequence","2","""2025-12-02T14:14:52.176Z""",,,,"19ac11368cbcbce0",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:14:52.207Z""","https://www.leafly.com/dispensary-info/catalyst-van-nuys",,"0"
"02b6b012-d57a-47a6-ab4d-1d25bc39916e","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","King Cronic","kingcronicyelm@gmail.com",,"Daily 8am–11pm","Washington","America/Los_Angeles","The listing for King Cronic does not provide any descriptive content in the 'About' section, making it difficult to assess its alignment with values such as sustainability, authenticity, or premium positioning. The tags indicate it is a recreational storefront, but without additional information, the tone and personality of the brand remain unclear.","in_sequence","2","""2025-12-02T14:15:05.797Z""",,,,"19ac13e7074c6d3a",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:15:05.830Z""","https://www.leafly.com/dispensary-info/king-cronic",,"0"
"02bb8b6d-856d-4105-b4de-4babfbea1d24","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Lemonnade Milwaukie","lemonnademilwaukie@gmail.com",,"Daily 9am–9:55pm","Oregon","America/Los_Angeles","Lemonnade Milwaukie is a cannabis dispensary that emphasizes a welcoming atmosphere with a focus on customer experience. They offer deli-style flower selection, daily deals, and cater to both medical patients and pet owners. The staff is described as friendly and fun-loving, contributing to a community-oriented vibe.","in_sequence","2","""2025-12-02T14:15:21.188Z""",,,,"19ac1572a2e23fa9",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:15:21.220Z""","https://www.leafly.com/dispensary-info/lemonnademilwaukie",,"0"
"02dfbbd8-fe84-476a-9e7e-b31c51f93c2a","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Burlington Cannabis Co.","burlingtoncannabisco@gmail.com",,"Mon–Thu 9am–10pm, Fri–Sat 9am–11pm, Sun 9am–9pm","Ontario","America/Toronto","Burlington Cannabis Co. emphasizes a community-focused approach, showcasing a team with over 20 years of experience in the cannabis industry. The dispensary prioritizes customer education and offers a carefully curated selection of high-quality cannabis products, all while maintaining a commitment to exceptional service and a welcoming atmosphere.","in_sequence","2","""2025-12-02T14:15:31.495Z""",,,,"19ac16f075423179",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:15:31.527Z""","https://www.leafly.com/cannabis-store/burlington-cannabis-co",,"0"
"031ec23d-4038-4e4c-b7e8-fc362d6ec618","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Silverleaf Cannabis Co. - Bozeman","silverleafcannabis3@gmail.com",,"Mon–Sat 9am–7:50pm, Sun 10am–7pm","Montana","America/Denver","Silverleaf Cannabis Co. in Bozeman presents itself as a customer-focused dispensary, emphasizing their commitment to service and product quality. The tone is friendly and welcoming, suggesting a straightforward approach without deep emphasis on design, storytelling, or brand differentiation.","in_sequence","2","""2025-12-02T14:15:44.499Z""",,,,"19ac1823999119e9",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:15:44.531Z""","https://www.leafly.com/dispensary-info/silverleaf-cannabis-co-bozeman",,"0"
"0336b453-803d-42e4-beca-45a9e9c8ba1a","58e7c8ef-566d-49c6-ab52-97db4e3f92ee","Lake City Cannabis - Richards Rd","ryan.roch@lakecitycannabis.ca",,"Mon–Thu 9am–11pm, Sun 9am–11pm, Fri–Sat 9am–11:59pm","Alberta","America/Edmonton","Lake City Cannabis is a family-owned dispensary in Chestermere, emphasizing customer education and community engagement. With a focus on providing extensive product knowledge in a relaxed atmosphere, the store positions cannabis as a cultural experience rather than a mere commodity, while also supporting local initiatives and non-profits.","in_sequence","2","""2025-12-02T14:16:30.273Z""",,,,"19ac19485b65a443",,,"""2025-11-25T23:48:23.934Z""","""2025-12-02T14:16:30.304Z""","https://www.leafly.com/cannabis-store/lake-city-cannabis-calgary",,"0"
