"id","recipient_id","step_number","subject","body","sent_at","thread_id","message_id","created_at"
"0005c416-b56c-4580-bd28-e467afa68fcd","6bf618ac-ac23-445b-85fd-ad9c510fac00","1","Cultural Value On Every Roll","<p>Hello Bud Bros Team,</p><p>I found your contact on Leafly and wanted to reach out directly. Your shop’s attention to both the craft and connection caught my eye—especially with your own premium extracts and focus on experience. </p><p>At NMU, we manufacture custom hemp wick rolls using European hemp and beeswax in a zero-waste facility. Chains that carry co-branded wick with The Last Prisoner Project earn instant credibility with connoisseurs—and show customers where they stand. It’s a quiet gesture that signals true craft, not just retail.</p><p>If you’d like, I can show you how your logo would look on a roll, simple and visual—no downside. Here’s the <b><u><a href=""https://www.lastprisonerproject.org/raw-take-action"">RAW x Last Prisoner Project partnership</a></u></b> as proof of impact.</p><p>Would you be open to seeing a custom mockup?</p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)","""2025-12-02T14:55:21.563Z""","19adf8f98285e562","<CAHh8mdaAXbOmjmb-fjyBuYEpb3-AnxbdYNWzTw6Fg729QFjUUQ@mail.gmail.com>","""2025-12-02T14:55:21.661Z"""
"038f0b99-f4aa-4733-ae6a-7a4e94b6cca4","2f278e8d-f4e5-4ec8-b781-ddb66f9d44ec","1","Build Cultural Credibility","<p>Hello Chris,</p><p>I came across your contact on Leafly and noticed Cambridge Cannabis Company’s dedication to Vermont craft and community. I have a simple idea that could help deepen that story for your customers, while reflecting real connoisseur culture.</p><p>We’re the team behind the co-branded rolls you may have seen at RAW and the Last Prisoner Project. Small, high-quality hemp wick rolls that signal you aren’t just another store—you’re part of the ritual. Every custom roll you share is a quiet nod to those who know, and a contribution to justice for those still impacted by prohibition: <a href=""https://www.lastprisonerproject.org/raw-take-action"" style=""font-weight:bold;text-decoration:underline;"">LPP/RAW partnership</a>.</p><p>Would you like to see how your brand could show up on a roll—just for curiosity’s sake?</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:43:46.586Z""","19adf84ffa19df1e","<CAHh8mdZS6dtZH2+r2QnyJSB8sgwbNAP9JLA+5vkJerABps8SzQ@mail.gmail.com>","""2025-12-02T14:43:46.679Z"""
"0434a054-4a12-4a35-a98f-9bfce7e8374b","0f50ffc3-8b67-4f1c-a560-b7416c16aa06","1","Quiet Ritual, Real Value","<p>Hello 4:20 Friendly team,</p><p>I came across your contact on Leafly and wanted to share something that might resonate.</p><p>Hemp wick isn’t just another retail item—among connoisseurs, it quietly signals an understanding of the deeper rituals and culture behind cannabis. Nearly invisible to outsiders, but meaningful to those who matter most.</p><p>We manufacture custom-branded rolls in Europe, and recently RAW teamed up with the Last Prisoner Project to create a co-branded version. Their mission—justice for those impacted by cannabis prohibition—made real, one roll at a time. <b><u><a href=""https://www.lastprisonerproject.org/raw-take-action"">See how the RAW x LPP partnership worked here</a></u></b>.</p><p>If you’d like, I can mock up how your logo would look on a roll—no pressure, just a visual to consider. Curious to get your take?</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:27:14.342Z""","19adf75db212e353","<CAHh8mdZtB4PNnq7qgFXymD8R_cRZSeWBKQwFrM=YEB77ShWz-w@mail.gmail.com>","""2025-12-02T14:27:14.436Z"""
"048a648c-9239-4f38-b18e-67a90ca12be0","1dafa806-66a5-4b1f-b297-d559f21b77c0","1","A quick idea for Harbor","<p>Hello Harbor Collective Team,</p><p>I hope this note finds you well. I found your contact on Leafly and wanted to share an idea rooted in both culture and impact.</p><p>We've seen how custom hemp wick rolls resonate with connoisseurs—and signal authentic care for the ritual. They’re simple, high-margin, and show customers your shop is part of the culture, not just the business.</p><p>We partnered with the Last Prisoner Project and RAW to create rolls that carry real meaning. Each carries a reminder: while we celebrate the industry, justice still matters. __<a href=""https://www.lastprisonerproject.org/raw-take-action""><b>Learn more about the LPP/RAW partnership here</b></a>__.</p><p>Would you like to see what your logo looks like on a roll? I can send a quick visual—no pressure, just sharing what works for others.</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:37:57.555Z""","19adf7fabe62c8f0","<CAHh8mdaa4nYFO1OfWuFbNuzZM8DdTj5wmiNYUj3DzzivM_q6mQ@mail.gmail.com>","""2025-12-02T14:37:57.648Z"""
"093d393b-2718-4a57-a0e7-f339b0d50153","160bc000-46e7-4d77-999c-6ea7d5589601","1","A Quiet Signal of Craft","<p>Hello Thur's Smoke Shop,</p><p>I hope this finds you well. I came across your contact on Leafly and wanted to reach out directly.</p><p>Your place serves a wide range of customers—that's clear. But in a crowded market, I’ve found small signals matter. Our rolls of European hemp wick, custom-branded for your shop, offer both a tactile ritual and a story. They’re easy to onboard, high-margin, and say quietly, “We know the culture.”</p><p>We recently produced a co-brand for RAW and Last Prisoner Project that’s helping fund justice work for people still locked up for the plant. Your logo could send that same message. Want to see how it might look? I can send a quick visual—no attachments, just a preview.</p><p>More on the RAW & LPP partnership here: <b><u><a href=""https://www.lastprisonerproject.org/raw-take-action"">https://www.lastprisonerproject.org/raw-take-action</a></u></b>.</p><p>Would you like a custom mockup?</p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)","""2025-12-02T14:32:15.617Z""","19adf7a7302d3df4","<CAHh8mda+wCzJWGszDuGvU5SfGRGMqEz2n6k3GpA-E1ztW0iAow@mail.gmail.com>","""2025-12-02T14:32:15.712Z"""
"0a380f48-bae6-49fc-a929-f1e09b69655f","0239d181-d9e8-4053-95a2-220719dcf322","2","Re: A Small Ritual, Big Impact","<p>Hello TreeHouse Club Team,</p><p>I wanted to circle back with a thought. Most dispensary counters feel crowded, but almost nothing actually speaks to the people who know the ritual. Hemp wick builds instant cultural credibility—the kind even the best rewards program can’t buy.</p><p>It’s why RAW co-branded with the Last Prisoner Project. Your logo on a roll could send a powerful, quiet message too. If you’d like, I can show you a quick mockup—no pressure at all. Here’s the partnership for context: <a href=""https://www.lastprisonerproject.org/raw-take-action"" style=""font-weight:bold;text-decoration:underline;"">LPP/RAW</a>.</p><p>Curious if this is something you’re open to seeing for TreeHouse Club?</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:14:36.676Z""","19ac0f9c7a00369b","<CAHh8mdbG=eHs2GJh5Le87tKVBFuEcUUXY+=_dOY3jxJUFPRhYw@mail.gmail.com>","""2025-12-02T14:14:36.771Z"""
"0c5320d8-15f4-451e-bb29-81ca9b51091f","1e56fcd2-d57a-459f-8c91-fac1c106de95","1","Cannabis with Soul","<p>Hello Embarc South Lake Tahoe team,</p><p>I hope this note finds you well. I found your contact on leafly and wanted to reach out as a fellow builder in this space.</p><p>After years manufacturing European hemp wick, we've seen how a small roll can quietly signal connoisseur-level care—a mark that moves a store from just retail to part of the ritual. We recently partnered with the Last Prisoner Project (LPP) and RAW to create a co-branded wick supporting justice for those impacted by prohibition. That partnership is real proof of what’s possible: <a href=""https://www.lastprisonerproject.org/raw-take-action""><b><u>LPP/RAW x Take Action</u></b></a>.</p><p>Would you be interested in seeing how Embarc's logo might look on a roll? No files needed—I can send a quick mockup if you like.</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:39:32.887Z""","19adf811ff158056","<CAHh8mdakKkpb1dmPBvQ_PPXigWLNF9DsiSWsA=wDW-Xw85swLg@mail.gmail.com>","""2025-12-02T14:39:33.006Z"""
"0c74acde-be3c-4cdc-a865-08bc9f312bc4","020a9ed8-7ad9-46e2-97a2-666d551621d4","2","Re: A Simple Store Signal","<p>Hello PurLife Farmington team,</p><p>Wanted to circle back with an idea that’s resonating in some unique shops—especially those balancing care for the ritual with real culture. Connoisseurs spot this instantly, and small moves like custom hemp wick connect on a deeper level than typical accessories ever do.</p><p>If you’re even remotely curious, I can show a quick visual: your logo on a roll, inspired by the RAW partnership with LPP. <a href=""https://www.lastprisonerproject.org/raw-take-action""><b><u>See what RAW built with LPP</u></b></a>.</p><p>Would it be worthwhile to send over a quick mockup for PurLife?</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:13:52.070Z""","19ac0b80d61d88d1","<CAHh8mdZwirOfbp_qSGqKJmSCxWuChKjn61seQGT3u2ongwtubA@mail.gmail.com>","""2025-12-02T14:13:52.162Z"""
"0c7cd5d3-f4a6-4ebc-b698-ccdc81985e9d","22d89382-abe6-41f2-ae11-e4bdbb7b9671","1","A Small Ritual, Big Signal","<p>Hello NoDak Green Prairie team,</p><p>I hope you’re well. I found your contact on Leafly and wanted to connect directly.</p><p>Your shop’s focus on local craft and true community really stood out. I think you’d appreciate a simple way to deepen that bond: co-branded hemp wick, made in Europe, natural beeswax, handed to your customers as a true connoisseur’s accessory. Not just a merch item—an instant way to earn trust from people who care about the ritual.</p><p>There’s something bigger here. Our recent project with <a href=""https://www.lastprisonerproject.org/raw-take-action""><b><u>Last Prisoner Project x RAW</u></b></a> shows the impact a small roll can have—connecting retail to justice, story to practice. Want me to show you how a NoDak logo would look on a roll?</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:41:22.562Z""","19adf82cb68fc384","<CAHh8mdZfT7eAu=uXJy+WVrLV=wv+xKE=11vvgKMAEggMdP5nQQ@mail.gmail.com>","""2025-12-02T14:41:22.655Z"""
"0d7fd42b-5d8c-4187-a5df-568f3b8742fb","ff86573b-c813-4aef-aa2d-1c0e87127d5d","1","Hemp Wick That Connects","<p>Hello 312 Cannabis Team,</p><p>I found your contact on Leafly and wanted to share something that speaks to both craft and community. I build products for people who care about every part of the ritual, not just the result.</p><p>Our co-branded hemp wick—made in Europe, finished with natural beeswax—carries cultural weight among connoisseurs. When RAW teamed with the Last Prisoner Project, it proved that even small items can spark real connection and justice in the cannabis space. Stores like yours can do the same: <a href=""https://www.lastprisonerproject.org/raw-take-action"" style=""font-weight:bold; text-decoration:underline;"">see how RAW & LPP teamed up</a>.</p><p>Want to see how your logo would look on a roll? No pressure—just let me know, and I’ll put together a visual.</p><p>--<br>Best Regards,<br>Michael Klepacz<br>Let's Meet! Ask me about a zoom call!<br>Founder - Natural Materials Unlimited<br>+48 662 331 212 (Whatsapp)<br>+1 (517) 312-3530 (USA)</p>","""2025-12-02T14:47:36.279Z""","19adf887e25f28e6","<CAHh8mda20EONUYjGDUhsnkdGozTK6pLoNOKiQRBWzc81XnG-dQ@mail.gmail.com>","""2025-12-02T14:47:36.371Z"""
